,accuracy,precision_weighted,recall_weighted,f1_weighted,train_time_sec
gb,1.0,1.0,1.0,1.0,7.75
rf,0.9848484848484849,0.9847338960585426,0.9848484848484849,0.9845431356126545,1.04
svc,0.9166666666666666,0.9192678896683902,0.9166666666666666,0.9164452991426509,1.95
logreg,0.9166666666666666,0.9143839035667409,0.9166666666666666,0.9151466755273452,0.61
