,accuracy,precision_weighted,recall_weighted,f1_weighted,train_time_sec
gb,1.0,1.0,1.0,1.0,3.95
rf,0.9974747474747475,0.9974842767295597,0.9974747474747475,0.9974490759304874,1.35
logreg,0.9722222222222222,0.9716583221300202,0.9722222222222222,0.9716777594623625,0.57
svc,0.9570707070707071,0.9562274881364781,0.9570707070707071,0.9554131840688292,0.99
