,accuracy,f1_score,precision,recall,training_time
Dummy,0.25,0.1,0.0625,0.25,0.05318021774291992
Logistic Regression,0.9166666666666666,0.9151466755273452,0.9143839035667409,0.9166666666666666,0.21895933151245117
Random Forest,0.9823232323232324,0.9821962351374116,0.9823393784391226,0.9823232323232324,0.37760114669799805
Gradient Boosting,1.0,1.0,1.0,1.0,2.585663080215454
SVM,0.9166666666666666,0.9164452991426509,0.9192678896683902,0.9166666666666666,1.013533353805542
